"skim_type","skim_variable","n_missing","complete_rate","logical.mean","logical.count","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"logical","ina",16542,0,NA,": ",NA,NA,NA,NA,NA,NA,NA,NA
"numeric","X",0,1,NA,NA,16225.985733285,9213.88474246534,2,8282.25,16308,24160.75,32175,"▇▇▇▇▇"
"numeric","estrato1",0,1,NA,NA,2.55138435497521,1.0110872965309,1,2,2,3,6,"▇▆▁▁▁"
"numeric","sex",0,1,NA,NA,0.529984282432596,0.499115219576602,0,0,1,1,1,"▇▁▁▁▇"
"numeric","age",0,1,NA,NA,39.4361624954661,13.4828439076364,18,28,38,50,94,"▇▇▅▁▁"
"numeric","p6240",0,1,NA,NA,1.55247249425704,1.41412707637099,1,1,1,1,6,"▇▁▁▁▁"
"numeric","p6426",0,1,NA,NA,63.7579494619756,89.4877518156839,0,7,24,84,720,"▇▁▁▁▁"
"numeric","maxEducLevel",0,1,NA,NA,5.94659868905635,1.22613756906089,1,5,6,7,7,"▁▁▁▁▇"
"numeric","ocu",0,1,NA,NA,1,0,1,1,1,1,1,"▁▁▇▁▁"
"numeric","dsi",0,1,NA,NA,0,0,0,0,0,0,0,"▁▁▇▁▁"
"numeric","y_total_m_ha",0,1,NA,NA,8738.91104893116,13926.8435796381,-31018.5582967137,3733.33325195312,4898.92236328125,8952.5458984375,350583.34375,"▇▁▁▁▁"
